home_team,away_team,match_date,round_number,match_stadium
JKT Tanzania,KMC,2025-05-06 15:30:00+00:00,20,General Isamuyo Stadium
Singida Big Stars,Dododma Jiji,2025-05-09 18:00:00+00:00,21,Liti Stadium
Yanga,Pamba fc,2025-05-12 18:00:00+00:00,21,Benjamin Mkapa Stadium
Simba,Geita Gold,2025-05-13 18:00:00+00:00,21,Benjamin Mkapa Stadium
mashujaa,Mango fc,2025-05-13 18:00:00+00:00,21,Lake Tnganyika Stadium
Namungo,kagera sugar,2025-05-13 15:30:00+00:00,21,Majaliwa Stadium
Mtibwa Sugar,Mlandege fc,2025-05-16 14:00:00+00:00,21,Manungu complex
KMC,Azam,2025-05-19 15:30:00+00:00,21,KMC complex
JKT Tanzania,JKU,2025-05-20 18:00:00+00:00,21,General Isamuyo Stadium
Singida Big Stars,Yanga,2025-05-23 15:30:00+00:00,22,Liti Stadium
Dododma Jiji,Simba,2025-05-24 14:00:00+00:00,22,Uhuru Stadium
Pamba fc,mashujaa,2025-05-24 15:30:00+00:00,22,Pamba Stadium
Geita Gold,Namungo,2025-05-24 15:30:00+00:00,22,CCM Kirumba
Mango fc,Mtibwa Sugar,2025-05-24 15:30:00+00:00,22,Nelson Mandela Stadium
kagera sugar,KMC,2025-05-25 18:00:00+00:00,22,kagera complex
Mlandege fc,JKT Tanzania,2025-05-25 15:30:00+00:00,22,New Amani Complex
Azam,JKU,2025-05-27 18:00:00+00:00,22,Azam Comple
Simba,Yanga,2025-06-02 18:00:00+00:00,23,Benjamin Mkapa Stadium
mashujaa,Singida Big Stars,2025-06-06 15:30:00+00:00,23,Lake Tnganyika Stadium
Namungo,Dododma Jiji,2025-06-07 18:00:00+00:00,23,Majaliwa Stadium
Mtibwa Sugar,Pamba fc,2025-06-07 18:00:00+00:00,23,Manungu complex
KMC,Geita Gold,2025-06-09 14:00:00+00:00,23,KMC complex
JKT Tanzania,Mango fc,2025-06-10 15:30:00+00:00,23,General Isamuyo Stadium
JKU,kagera sugar,2025-06-13 18:00:00+00:00,23,New Amani Complex
Azam,Mlandege fc,2025-06-16 18:00:00+00:00,23,Azam Comple
Simba,mashujaa,2025-06-22 18:00:00+00:00,24,Benjamin Mkapa Stadium
Yanga,Namungo,2025-06-24 18:00:00+00:00,24,Benjamin Mkapa Stadium
Singida Big Stars,Mtibwa Sugar,2025-06-24 15:30:00+00:00,24,Liti Stadium
Dododma Jiji,KMC,2025-06-24 15:30:00+00:00,24,Uhuru Stadium
Pamba fc,JKT Tanzania,2025-06-27 15:30:00+00:00,24,Pamba Stadium
Geita Gold,JKU,2025-06-28 15:30:00+00:00,24,CCM Kirumba
Mango fc,Azam,2025-06-28 14:00:00+00:00,24,Nelson Mandela Stadium
kagera sugar,Mlandege fc,2025-06-28 14:00:00+00:00,24,kagera complex
Namungo,mashujaa,2025-06-29 18:00:00+00:00,25,Majaliwa Stadium
Mtibwa Sugar,Simba,2025-06-29 14:00:00+00:00,25,Manungu complex
KMC,Yanga,2025-07-01 15:30:00+00:00,25,KMC complex
JKT Tanzania,Singida Big Stars,2025-07-06 15:30:00+00:00,25,General Isamuyo Stadium
JKU,Dododma Jiji,2025-07-06 18:00:00+00:00,25,New Amani Complex
Azam,Pamba fc,2025-07-08 15:30:00+00:00,25,Azam Comple
Mlandege fc,Geita Gold,2025-07-08 14:00:00+00:00,25,New Amani Complex
kagera sugar,Mango fc,2025-07-11 14:00:00+00:00,25,kagera complex
Namungo,Mtibwa Sugar,2025-07-12 14:00:00+00:00,26,Majaliwa Stadium
mashujaa,KMC,2025-07-12 15:30:00+00:00,26,Lake Tnganyika Stadium
Simba,JKT Tanzania,2025-07-14 15:30:00+00:00,26,Benjamin Mkapa Stadium
Yanga,JKU,2025-07-15 14:00:00+00:00,26,Benjamin Mkapa Stadium
Singida Big Stars,Azam,2025-07-18 14:00:00+00:00,26,Liti Stadium
Dododma Jiji,Mlandege fc,2025-07-19 18:00:00+00:00,26,Uhuru Stadium
Pamba fc,kagera sugar,2025-07-19 18:00:00+00:00,26,Pamba Stadium
Geita Gold,Mango fc,2025-07-19 14:00:00+00:00,26,CCM Kirumba
KMC,Mtibwa Sugar,2025-07-22 14:00:00+00:00,27,KMC complex
JKT Tanzania,Namungo,2025-07-23 18:00:00+00:00,27,General Isamuyo Stadium
JKU,mashujaa,2025-07-23 18:00:00+00:00,27,New Amani Complex
Azam,Simba,2025-07-27 18:00:00+00:00,27,Azam Comple
Mlandege fc,Yanga,2025-07-27 18:00:00+00:00,27,New Amani Complex
kagera sugar,Singida Big Stars,2025-07-27 14:00:00+00:00,27,kagera complex
Mango fc,Dododma Jiji,2025-07-27 18:00:00+00:00,27,Nelson Mandela Stadium
Geita Gold,Pamba fc,2025-08-01 15:30:00+00:00,27,CCM Kirumba
KMC,JKT Tanzania,2025-08-04 15:30:00+00:00,28,KMC complex
Mtibwa Sugar,JKU,2025-08-04 14:00:00+00:00,28,Manungu complex
Namungo,Azam,2025-08-04 18:00:00+00:00,28,Majaliwa Stadium
mashujaa,Mlandege fc,2025-08-04 14:00:00+00:00,28,Lake Tnganyika Stadium
Simba,kagera sugar,2025-08-10 14:00:00+00:00,28,Benjamin Mkapa Stadium
Yanga,Mango fc,2025-08-12 18:00:00+00:00,28,Benjamin Mkapa Stadium
Singida Big Stars,Geita Gold,2025-08-12 15:30:00+00:00,28,Liti Stadium
Dododma Jiji,Pamba fc,2025-08-12 15:30:00+00:00,28,Uhuru Stadium
JKU,JKT Tanzania,2025-08-15 15:30:00+00:00,29,New Amani Complex
Azam,KMC,2025-08-18 15:30:00+00:00,29,Azam Comple
Mlandege fc,Mtibwa Sugar,2025-08-18 18:00:00+00:00,29,New Amani Complex
kagera sugar,Namungo,2025-08-18 15:30:00+00:00,29,kagera complex
Mango fc,mashujaa,2025-08-18 18:00:00+00:00,29,Nelson Mandela Stadium
Geita Gold,Simba,2025-08-22 15:30:00+00:00,29,CCM Kirumba
Pamba fc,Yanga,2025-08-23 15:30:00+00:00,29,Pamba Stadium
Dododma Jiji,Singida Big Stars,2025-08-23 15:30:00+00:00,29,Uhuru Stadium
JKU,Azam,2025-08-24 14:00:00+00:00,30,New Amani Complex
JKT Tanzania,Mlandege fc,2025-08-26 18:00:00+00:00,30,General Isamuyo Stadium
KMC,kagera sugar,2025-08-27 15:30:00+00:00,30,KMC complex
Mtibwa Sugar,Mango fc,2025-08-29 18:00:00+00:00,30,Manungu complex
Namungo,Geita Gold,2025-08-30 15:30:00+00:00,30,Majaliwa Stadium
mashujaa,Pamba fc,2025-08-30 18:00:00+00:00,30,Lake Tnganyika Stadium
Simba,Dododma Jiji,2025-09-01 14:00:00+00:00,30,Benjamin Mkapa Stadium
Yanga,Singida Big Stars,2025-09-02 15:30:00+00:00,30,Benjamin Mkapa Stadium
